WKT,id,codcen,dlibre,cod_generica,dgenerica_cas,dgenerica_val,despecifica,regimen,cif_centro,titular,direccion,codpos,telef,fax,mail,web,cod_ine_mun,noms_mun,localidad_oficial,comarca,provincia,latitud,longitud,cod_estado,desc_estado,tiene_ip,cod_aplicacion,desc_aplicacion
POINT (719914.080881331 4287175.04990488),11,3000345,CENTRE PRIVAT JOSÉ ARNAUDA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",JOSÉ ARNAUDA,CONCERTADO,R0300048F,PARROQUIA DE NUESTRO SAGRADO CORAZÓN DE JESÚS.,"CL. PADRE POVEDA, 1",3804,965330358,965333264,direccion@colegioarnauda.org,http://www.colegioarnauda.org,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.705883,-0.470953,A,ALTA,N,2,CENTROS
POINT (719737.127991126 4286412.19765148),12,3000357,CENTRE PRIVAT LA PRESENTACIÓN,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA PRESENTACIÓN,CONCERTADO,G87804688,FUNDACIÓN VEDRUNA EDUCACIÓN,"CL. PINTOR CASANOVA, 22",3801,965544702,965545623,vedrunaalcoy@vedruna.es,https://www.vedrunalcoy.es/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.699059,-0.473228,A,ALTA,N,2,CENTROS
POINT (720497.114398644 4287464.5290571),13,3000382,CENTRE PRIVAT ESCLAVES SCJ ALCOI,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCLAVES SCJ ALCOI,CONCERTADO,G86621927,FUNDACIÓN EDUCATIVA ACI,"CL. ARZOBISPO DOMENECH, 19",3804,965520616,966522020,colegio@esclavasalcoy.com,https://alcoy.esclavasscj.com/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.708344,-0.464162,A,ALTA,N,2,CENTROS
POINT (719541.923690242 4285125.58382556),14,3000394,IES PARE VITÒRIA,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,PARE VITÒRIA,PÚBLICO,Q5355169C,GENERALITAT VALENCIANA,"AV. DE ELCHE, 15",3801,966528115,0,03000394@edu.gva.es,https://portal.edu.gva.es/03000394,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.687524,-0.475878,A,ALTA,S,2,CENTROS
POINT (720551.343009168 4288070.49951805),15,3000400,IES COTES BAIXES,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,COTES BAIXES,PÚBLICO,Q5355168E,GENERALITAT VALENCIANA,"PG. COTES BAIXES, S/N",3804,966528110,0,03000400@edu.gva.es,https://www.iescotesbaixes.org/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.713786,-0.463346,A,ALTA,N,2,CENTROS
POINT (720655.922806293 4287496.80870661),16,3000424,CENTRE PRIVAT SALESIANOS JUAN XXIII,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SALESIANOS JUAN XXIII,CONCERTADO,R0300264I,CASA SALESIANA DE SAN JOSÉ (ESCUELAS SALESIANAS JUA,"CL. SAN JUAN BOSCO, 37",3804,965332640,965523197,alcoy.juanxxiii@salesianos.edu,https://alcoy.salesianos.edu/colegioj23/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.708595,-0.462327,A,ALTA,N,2,CENTROS
POINT (719255.003051131 4287297.27016452),17,3000448,CENTRE PRIVAT LA SALLE,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA SALLE,CONCERTADO,R0300266D,HERMANOS DE LAS ESCUELAS CRISTIANAS,"CR. CHORRADOR, 1",3803,966540010,966526412,dirgenalcoi@lasallevp.es,https://alcoi.lasalle.es/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.707147,-0.478487,A,ALTA,N,2,CENTROS
POINT (719391.316867465 4286949.03355768),18,3000451,CENTRE PRIV. ED. INFANTIL EL SALVADOR,1004,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,EL SALVADOR,PRIVADO,R0300353J,ARQUEBISBAT DE VALENCIA,"CL. ENTENZA, 78",3803,965336867,965336867,colegioelsalvador_@hotmail.com,0,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.703978,-0.477031,A,ALTA,N,2,CENTROS
POINT (719014.58557132 4286336.53623243),19,3000473,CENTRE PRIVAT SANT ROC,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANT ROC,CONCERTADO,R0300049D,PARROQUIA DE SAN ROQUE Y SAN SEBASTIÁN DE ALCOY.,"CL. ESPRONCEDA, 1",3803,965331560,966331836,info@colegiosanroque.org,http://www.colegiosanroque.org/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.698557,-0.481553,A,ALTA,N,2,CENTROS
POINT (719506.769198597 4285826.37565322),20,3000485,CENTRE PRIVAT SAN VICENTE FERRER,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN VICENTE FERRER,CONCERTADO,R0300265F,CASA SALESIANA DE SAN VICENTE FERRER(C.SALESIANO S.,"PZ. MOSSÉN JOSEP, 1",3801,965540866,965546063,alcoy.sanvicente@salesianos.edu,http://alcoysanvicente.salesianos.edu/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.693842,-0.47606,A,ALTA,N,2,CENTROS
POINT (718461.327820977 4286197.60650826),21,3000497,CENTRE PRIVAT SAN VICENTE DE PAÚL,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN VICENTE DE PAÚL,CONCERTADO,G98949498,FUNDACIÓN SAN JORGE DE ALCOY,"CL. LA MILAGROSA, 1",3802,965331878,965332748,titular@colegiopaulalcoy.com,http://www.colegiopaulalcoy.com/,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.697443,-0.487953,A,ALTA,N,2,CENTROS
POINT (719062.244278851 4285758.82409149),22,3000503,CENTRE PRIVAT SANTA ANA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA ANA,CONCERTADO,R0300396I,PARROQUIA SANTA ROSA D'ALCOI,"CL. ISABEL II, 5",3802,965332228,965330670,direccion@santaanaalcoi.com,http://www.santaanaalcoi.com,3009,Alcoi/Alcoy,Alcoi,l'Alcoià,Alacant/Alicante,38.693344,-0.481188,A,ALTA,N,2,CENTROS
POINT (752874.342953403 4274048.30030524),23,3000588,CEIP SANTÍSIMO CRISTO BUEN ACIERTO,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTÍSIMO CRISTO BUEN ACIERTO,PÚBLICO,Q5355160B,GENERALITAT VALENCIANA,"CL. CAMÍ DE LA MAR, 21",3580,966870740,0,03000588@edu.gva.es,https://portal.edu.gva.es/03000588,3011,l'Alfàs del Pi,Alfàs Del Pi (L'),la Marina Baixa,Alacant/Alicante,38.57893,-0.097102,A,ALTA,S,2,CENTROS
POINT (693365.457829743 4217648.15754431),24,3000591,CEIP MIGUEL DE CERVANTES,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MIGUEL DE CERVANTES,PÚBLICO,Q5355159D,GENERALITAT VALENCIANA,"CL. MIGUEL HERNÁNDEZ, 1-3",3169,965290135,0,03000591@edu.gva.es,https://portal.edu.gva.es/03000591,3012,Algorfa,Algorfa,el Baix Segura/La Vega Baja,Alacant/Alicante,38.08596,-0.795148,A,ALTA,S,2,CENTROS
POINT (674325.035982731 4245097.41533079),25,3000606,CEIP VIRGEN DEL REMEDIO,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIRGEN DEL REMEDIO,PÚBLICO,Q5355158F,GENERALITAT VALENCIANA,"PS. DE LA LIBERTAD, S/N",3668,966957345,0,03000606@edu.gva.es,0,3013,Algueña,Algueña,el Vinalopó Mitjà/El Vinalopó Medio,Alacant/Alicante,38.337071,-1.00539,A,ALTA,S,2,CENTROS
POINT (721015.143706478 4249035.35363722),26,3000679,IES JAIME II,1042,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JAIME II,PÚBLICO,Q5355572H,GENERALITAT VALENCIANA,"CL. DOCTOR CRISTÓBAL PARDO, 4",3015,965936465,0,03000679@edu.gva.es,https://portal.edu.gva.es/03000679,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.362228,-0.470363,A,ALTA,S,2,CENTROS
POINT (718088.437330822 4249882.36157661),27,3000692,CEIP EUSEBIO SEMPERE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EUSEBIO SEMPERE,PÚBLICO,Q5355577G,GENERALITAT VALENCIANA,"CL. ISIDORO DE SEVILLA, 2",3009,965936210,0,03000692@edu.gva.es,0,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.370572,-0.503569,A,ALTA,S,2,CENTROS
POINT (719995.607329621 4248476.78815364),28,3000709,CEIP MANJÓN-CERVANTES,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MANJÓN-CERVANTES,PÚBLICO,Q5355010I,GENERALITAT VALENCIANA,"CL. MONTERO RÍOS, 2",3012,965932515,0,03000709@edu.gva.es,0,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.35745,-0.482196,A,ALTA,S,2,CENTROS
POINT (720372.110484843 4247295.43740322),29,3000710,CEIP SAN ROQUE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN ROQUE,PÚBLICO,Q5355542A,GENERALITAT VALENCIANA,"CL. VILLAVIEJA, S/N",3002,965937045,0,03000710@edu.gva.es,0,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.346721,-0.47826,A,ALTA,S,2,CENTROS
POINT (720097.819783831 4248717.8155313),30,3000722,CEIP 9 D'OCTUBRE,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,9 D'OCTUBRE,PÚBLICO,Q5355187E,GENERALITAT VALENCIANA,"CL. PINOSO, 27",3012,965919020,0,03000722@edu.gva.es,0,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.359595,-0.480952,A,ALTA,S,2,CENTROS
POINT (718743.772619166 4246362.36862181),31,3000734,CEIP BENALÚA,1014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BENALÚA,PÚBLICO,Q5355053I,GENERALITAT VALENCIANA,"CL. DOCTOR JUST, 70",3007,965919040,0,03000734@edu.gva.es,https://portal.edu.gva.es/03000734,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.338719,-0.497166,A,ALTA,S,2,CENTROS
POINT (718854.847160972 4249414.67401487),32,3000758,CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DE LOS ÁNGELES,CONCERTADO,R0300113H,PARROQUIA NUESTRA SEÑORA DE LOS ÁNGELES DE ALICANTE,"CL. PARDO BAZÁN, 8",3010,965170417,965170417,colegiolosangelesalicante.a@gmail.com,http://www.colegiolosangelesalicante.org/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.366174,-0.494949,A,ALTA,N,2,CENTROS
POINT (717668.183594029 4247172.58549837),33,3000813,CENTRE PRIVAT VIRGEN DEL ROSARIO,1015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIRGEN DEL ROSARIO,CONCERTADO,R0300047H,PARROQUIA NUESTRA SEÑORA DEL ROSARIO DE ALICANTE,"PZ. FLORIDA-PORTAZGO, 6",3006,965110152,965106401,vrosarioa@planalfa.es,http://colegiosdiocesanosoa.com/virgen-del-rosario/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.346276,-0.509212,A,ALTA,N,2,CENTROS
POINT (721527.102930949 4248948.33555809),34,3000849,CENTRE PRIVAT INMACULADA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",INMACULADA,CONCERTADO,G56797764,FUNDACIÓN EDUCATIVA JESUITAS CENTRO ESTE,"AV. DE DÉNIA, 98",3016,965268144,965225113,inmaculadaa@planalfa.es,http://colegio-inmaculada.org/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.361318,-0.464536,A,ALTA,N,2,CENTROS
POINT (722432.672690241 4250059.97162987),35,3000904,CENTRE PRIVAT CEU JESÚS MARÍA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CEU JESÚS MARÍA,CONCERTADO,G28423275,FUNDACIÓN UNIVERSITARIA SAN PABLO-CEU,"CL. DEPORTISTA ALEJANDRA QUEREDA, 15",3016,965261400,965261533,colegioalicante@colegioceu.es,http://www.colegioceualicante.es,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.371102,-0.45383,A,ALTA,N,2,CENTROS
POINT (718607.548578265 4248038.08621099),36,3000931,CENTRE PRIV. ED. INF. 1er CICLE CIUDAD INFANTIL SAN JORGE,1687,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CIUDAD INFANTIL SAN JORGE,PRIVADO,B53329322,"CIUDAD INFANTIL SAN JORGE, SL","AV. DEL DOCTOR RICO, 15",3005,965927661,965227547,info@ciudadinfantilsanjorge.com,http://www.ciudadinfantilsanjorge.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.35384,-0.498204,A,ALTA,N,2,CENTROS
POINT (717779.229884703 4248410.94877972),37,3000965,CENTRE PRIVAT MARÍA AUXILIADORA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",MARÍA AUXILIADORA,CONCERTADO,R0300324A,HIJAS DE MARÍA AUXILIADORA-SALESIANAS S.JUAN BOSCO,"CL. ISLA DE CORFÚ, 7",3005,965921008,0,alicante@salesianas.org,https://alicante.salesianas.org/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.357399,-0.50756,A,ALTA,N,2,CENTROS
POINT (718598.168259263 4248687.22876215),38,3000989,CENTRE PRIVAT NAZARET,1073,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,NAZARET,CONCERTADO,R0300035C,COMPAÑÍA DE JESÚS,"CL. CALPE, S/N",3005,965171815,965181150,descolar@nazaretalicante.es,http://www.nazaretalicante.es/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.359687,-0.49811,A,ALTA,N,2,CENTROS
POINT (725932.438487252 4253521.95918571),39,3001003,CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS,1094,CENTRO DOCENTE PRIVADO EXTRANJERO,CENTRE DOCENT PRIVAT ESTRANGER,LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS,PRIVADO,G0011458G,MISSION LAÏQUE FRANÇAISE,"CM. DE MARCO, 21",3560,965262508,965659938,lf.alicante@mlfmonde.org,http://www.lfalicante.org/,3050,el Campello,Campello (El),l'Alacantí,Alacant/Alicante,38.401394,-0.412695,A,ALTA,N,2,CENTROS
POINT (718300.711720315 4248976.04442334),40,3001039,CENTRE PRIVAT SANTA MARÍA DEL CARMEN,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA MARÍA DEL CARMEN,CONCERTADO,R0300287J,HERMANAS DE LA VIRGEN MARÍA DEL MONTE CARMELO,"CL. MADRE ELISEA OLIVER, 2",3005,965174767,965175040,alicante@colegioscarmelitas.es,https://alicante.colegioscarmelitas.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.36236,-0.501422,A,ALTA,N,2,CENTROS
POINT (719665.978007373 4248021.53693363),41,3001088,CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DEL REMEDIO,CONCERTADO,G03104593,ASILO ESCUELA DE NUESTRA SEÑORA DEL REMEDIO.,"PS. DE CAMPOAMOR, 4",3010,965246990,965257124,info@nsremedio.es,http://www.nsremedio.es,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.353432,-0.486107,A,ALTA,N,2,CENTROS
POINT (718159.00436181 4247448.84706849),42,3001121,CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA PURÍSIMA Y SAN FRANCISCO,CONCERTADO,R0300277A,RELIGIOSAS FRANCISCANAS DE LA PURÍSIMA,"CL. PADRE RECAREDO DE LOS RÍOS, 53",3005,965132519,965228215,direccion@franciscanasalicante.com,http://www.franciscanasalicante.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.348644,-0.503515,A,ALTA,N,2,CENTROS
POINT (719629.251086786 4248438.69973073),43,3001143,CENTRE PRIVAT SAGRADA FAMILIA,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADA FAMILIA,CONCERTADO,R0300294F,RR. SIERVAS DE SAN JOSÉ,"CL. FRANCISCO CARRATALÁ CERNUDA, 13",3010,965252875,965240562,sfsecre@planalfa.es,http://www.colegiosagradafamiliaalicante.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.357197,-0.486397,A,ALTA,N,2,CENTROS
POINT (717868.308343109 4248360.48891641),44,3001167,CENTRE PRIVAT SAGRADO CORAZÓN HH. MARISTAS,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADO CORAZÓN HH. MARISTAS,CONCERTADO,R0300326F,HERMANOS MARISTAS,"CL. ISLA DE CORFÚ, 5",3005,965130941,965126132,secretariaalicante@maristasmediterranea.com,http://www.maristasalicante.com/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.356923,-0.506557,A,ALTA,N,2,CENTROS
POINT (721235.396043614 4248854.9131959),45,3001179,CENTRE PRIVAT SAGRADOS CORAZONES,1072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADOS CORAZONES,CONCERTADO,B03715455,"CESACO, SL","CM. CRUZ DE PIEDRA, 21",3013,965261728,965261728,info@sagradoscorazones.es,http://www.sagradoscorazones.es/,3014,Alacant/Alicante,Alacant,l'Alacantí,Alacant/Alicante,38.360549,-0.467901,A,ALTA,N,2,CENTROS
